rating,date,bank,cleaned_text,sentiment_score,sentiment_label,bank_id
5,2025-06-05,Commercial Bank of Ethiopia,app proactive good connection,0.9998316764831544,positive,1
3,2025-06-05,Commercial Bank of Ethiopia,send cbebirr app app,0.9793662428855896,negative,1
4,2025-06-05,Commercial Bank of Ethiopia,good,0.999816119670868,positive,1
1,2025-06-04,Commercial Bank of Ethiopia,functional,0.9993332028388976,positive,1
1,2025-06-04,Commercial Bank of Ethiopia,everytime uninstall app reach physically oldy one security layer check fraud attempt via app source directlysource app store play store etc implicitly 2025 physical presence every app install traditionaltraditionally rare,0.994766354560852,negative,1
4,2025-06-04,Commercial Bank of Ethiopia,mr space,0.9918808341026306,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,well,0.9995703101158142,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,bezabih,0.9654072523117064,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,good mobile banking app ever,0.9998226761817932,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,good,0.999816119670868,positive,1
2,2025-06-04,Commercial Bank of Ethiopia,good app issue like not give right amount bank issue transfer,0.9569039940834044,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,good,0.999816119670868,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,,0.7481208443641663,positive,1
5,2025-06-04,Commercial Bank of Ethiopia,niec,0.5998045802116394,positive,1
5,2025-06-03,Commercial Bank of Ethiopia,good app finance,0.99980229139328,positive,1
1,2025-06-03,Commercial Bank of Ethiopia,yetemeta,0.6553667783737183,positive,1
5,2025-06-03,Commercial Bank of Ethiopia,engida kebede fetera,0.8396738767623901,negative,1
5,2025-06-03,Commercial Bank of Ethiopia,good,0.999816119670868,positive,1
1,2025-06-02,Commercial Bank of Ethiopia,safety,0.9971936345100404,positive,1
5,2025-06-02,Commercial Bank of Ethiopia,nice bank,0.999805510044098,positive,1
1,2025-06-02,Commercial Bank of Ethiopia,like childish app make well bad ever see,0.999579131603241,negative,1
5,2025-06-02,Commercial Bank of Ethiopia,problem solver application go ahead cbe love much,0.9991011619567872,positive,1
4,2025-06-01,Commercial Bank of Ethiopia,good try make facilitate client,0.9987378716468812,positive,1
5,2025-06-01,Commercial Bank of Ethiopia,good app,0.9998493194580078,positive,1
5,2025-06-01,Commercial Bank of Ethiopia,awesome bank,0.99984610080719,positive,1
5,2025-05-31,Commercial Bank of Ethiopia,app develop good way comment need make 1 prevent screenshot likely good someone like coz need make screenshot quick evidence 2it would good make we access recent transaction history 30 day coz not go bank person see old transaction add colander category user easily access old transaction colander,0.9942954182624816,negative,1
5,2025-05-31,Commercial Bank of Ethiopia,masha alla,0.9514628052711488,negative,1
2,2025-05-31,Commercial Bank of Ethiopia,recently big problem send safaricom telebir even cbebirr wallet could anybody responsible fix frustrating 5 day money not return take account not send mpesa update correct send back money still afraid send,0.9983225464820862,negative,1
5,2025-05-30,Commercial Bank of Ethiopia,well service,0.9997822642326356,positive,1
5,2025-05-30,Commercial Bank of Ethiopia,good app time manager,0.9998489618301392,positive,1
5,2025-05-30,Commercial Bank of Ethiopia,malkaamuu jiidhaa namoo,0.9887813329696656,negative,1
3,2025-05-30,Commercial Bank of Ethiopia,low system everything,0.9995009899139404,negative,1
5,2025-05-30,Commercial Bank of Ethiopia,nice,0.9998552799224854,positive,1
5,2025-05-28,Commercial Bank of Ethiopia,keep cbe,0.992401123046875,positive,1
5,2025-05-28,Commercial Bank of Ethiopia,yes good,0.9998410940170288,positive,1
4,2025-05-27,Commercial Bank of Ethiopia,use app last two year problem stop work 3 month ago try transfer fund give error can not transaction inactive account,0.9816290140151978,negative,1
5,2025-05-27,Commercial Bank of Ethiopia,like everything app,0.9987452030181884,positive,1
5,2025-05-27,Commercial Bank of Ethiopia,good,0.999816119670868,positive,1
1,2025-05-26,Commercial Bank of Ethiopia,network,0.9776424169540404,positive,1
5,2025-05-26,Commercial Bank of Ethiopia,well,0.9995703101158142,positive,1
5,2025-05-26,Commercial Bank of Ethiopia,cbe good financial application dimple use would like say thank much developer application really appreciate app,0.9983635544776917,positive,1
5,2025-05-26,Commercial Bank of Ethiopia,nice,0.9998552799224854,positive,1
5,2025-05-26,Commercial Bank of Ethiopia,good job,0.999835729598999,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,good,0.999816119670868,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,awesome,0.9998682737350464,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,well,0.9995703101158142,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,thankyou every one,0.99984610080719,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,good app,0.9998493194580078,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,ronaldo,0.999267280101776,positive,1
5,2025-05-25,Commercial Bank of Ethiopia,app absolutely fantastic love enjoy let we support foundation together,0.9998258948326112,positive,1
2,2025-05-25,Commercial Bank of Ethiopia,cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network whether use wifi mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon nontechnical influence remove essential service,0.999479591846466,negative,1
5,2025-05-24,Commercial Bank of Ethiopia,mortuary app,0.7924920320510864,negative,1
5,2025-05-24,Commercial Bank of Ethiopia,smart app stop period time device reason,0.7012125849723816,negative,1
4,2025-05-24,Commercial Bank of Ethiopia,amazing app use app one year,0.9997779726982116,positive,1
5,2025-05-24,Commercial Bank of Ethiopia,,0.7481208443641663,positive,1
